Content,Emotion_predicted
My Mom s a nurse and just tested positive for COVID 19 The caregiver is now the patient Stay home for all the b,relief
This is unconscionable Americans are already afraid of the impact the deadly COVID 19 pandemic is having on their,sadness
Interacted with heads of our Missions abroad on the COVID 19 situation We discussed many issues including ways to,happiness
RT Chinese medics have just arrived in London to help us fight Covid 19 The media won t tell you for some reason https,happiness
RT Why didn t UK take part in EU procurement No 10 We didn t get the email in time Michael Gove Communication confu,worry
Health Workers Study SignLanguage to Care for Deaf COVID 19 Patients,happiness
you claimed this was unconstitutional Thoughts,worry
Watch Freshman Dem Rep s COVID 19 Speech Devolve Into Unhinged Rant on House Floor,happiness
RT COVID19 This is probably the best scientific explainer I have seen on why we should all wear masks against coronavirus h,happiness
RT On Saturday an average of one person died from COVID19 every nine minutes in New York City On Sunday alone 98 people died,fun
COVID 19 Update Nigeria records 20 new cases as toll rises to 131,fun
Please do check out my new simple and much more authentic feeling services designed with you in mind Call or tex,fun
RT This is unconscionable Americans are already afraid of the impact the deadly COVID 19 pandemic is having on their lives th,sadness
RT My Mom s a nurse and just tested positive for COVID 19 The caregiver is now the patient Stay home for all the brave,relief
RT Houston mayor pleads for criminals to chill until COVID 19 is over 11 police officers amp firefighters in Houston have,neutral
Covid 19 COVID19 GretaThunberg s VisionOfFuture for Earth FridaysForFuture FridaysForHubraum All at home,happiness
RT 60 people went to choir practice 45 have COVID 19 Three are hospitalized Two are dead Stay home Don t visit other hom,happiness
DC announces 94 new positive cases of COVID 19 ranging in age from 9 to 93 years old for a total of 495 people N,fun
RT I gave a brief telephone interview to Duma FM on China s material assistance to Botswana in the fight against COVID 19 Y,worry
RT Chinese medics have just arrived in London to help us fight Covid 19 The media won t tell you for some reason https,happiness
RT I don t know who needs to hear this but this April Fools day do NOT make jokes about having COVID 19 or make up fakes ne,worry
RT Patrick Jones is the first person in federal prison to die from COVID 19 Jones was convicted in 2017 of possession with,sadness
When it comes to COVID 19 how do communicators help their organizations respond to the global health crisis,worry
RT This is well worth watching If you are scared of the Corona virus this one video will change that Watch it all the way thr,fun
RT vegan Covid 19 exosomes,happiness
RT Big props to who has joined the fight against COVID 19 and has started to produce medical gowns Great to,fun
Support Donna by signing Why You Must Act Now and I ll deliver a copy to your officials too,worry
RT Nancy Pelosi claims Trump didn t act early enough to stop the spread of COVID 19 But when Trump banned Chinese natio,worry
RT Opinion We must realize that a possible global financial crisis may be devastating and cannot be analyzed by conventional,worry
Another doctor New York neurosurgeon who separated conjoined twins dies from complications of Covid 19 CNN,fun
COVID 19 Peak in the Central Valley and United States is Still To Come,happiness
RT Proud of AAM member for donating doses to Louisiana COVID19,relief
RT Who led the digital transformation of your company McKinsey CEO CTO agile squads COVID 19,happiness
RT If you have an 80 year old patient with terminal cancer heart disease and diabetes hanging onto life by a thread who die,worry
RT USA Due to the severity of the COVID 19 pandemic amp to ensure the safety of everyone who participates Lt Gen Laster Presi,fun
RT NEW A New Jersey National Guardsman dies from COVID 19 complications on Monday the Pentagon says marking the first coronavi,fun
One patient released from isolation after recovering from COVID 19 JACOVID19,worry
RT AmazonStrike I work at Amazon in Eastvale CA We ve had 2 confirmed cases of Covid 19 We received ZERO info until r,happiness
RT IT S IN THE DATA The Common Flu Had 12 Times More Hospitalizations than COVID 19 Yet No Media Hysteria,happiness
Italian doctors demand protective supplies as CoronaVirus deaths At least 50 doctors have died from COVID 19 whi,relief
RT PELOSI NEWSOM s COVID 19 CHERNOBYL Ca has 40 million the GREATEST AT RISK POPULATION in the WORLD Their mortality is,fun
RT I Murdered COVID 19 Nigerian Lady Shares Survival Story After Testing Positive CovidNGR Figh,happiness
Aye anyone have this covid 19 address i just wanna talk,sadness
RT PELOSI NEWSOM s COVID 19 CHERNOBYL Ca has 40 million the GREATEST AT RISK POPULATION in the WORLD Their mortality is,fun
RT It s National Doctor s Day so we want to say THANK YOU to all doctors and nurses on the frontlines of the COVID 19 Cr,relief
RT My sister has Covid 19 She s 7 months pregnant Will you pray for her,worry
Support Kaylee by signing Why You Must Act Now and I ll deliver a copy to your officials too,worry
RT Jump start your 2020 CallforCode solution for COVID19 with easy to understand starter kits We ve created three starter,fun
RT Harnessing the Power of Intention during Covid 19 Pandemic and after it s over From Human to Metahuman covid covid1,worry
RT CALLING ALL WHO HAVE RECENTLY RECOVERED FROM COVID19 Please help if you can Please consider having your blood tested,worry
RT CORONAVIRUS Member of Standard School District community tests positive for COVID 19,relief
RT My cousin in jail in NYC MDC just told me he got covid 19 He s in a dorm with 6 others and he called me saying crazy shit,worry
RT Workers at Amazon s Staten Island facility have said that multiple people at the warehouse have been diagnosed with CO,fun
Another good read,fun
RT Patrick Jones is the first person in federal prison to die from COVID 19 Jones was convicted in 2017 of possession with,sadness
RT AndeKarim Its easy to say that COVID 19 is spreading because people wont stay home I think it has more to do with the fact that,happiness
How and When Will the COVID 19 Pandemic End Smart News Smithsonian Magazine,worry
RT Delicious food for our NHS A amp E heroes Slough based Aid is providing 800 hot meals daily to 8 NHS Hospitals A amp,fun
RT tv BREAKINGNEWS Heritage at Brentwood becomes second nursing home in the midstate to confirm a case of Covid 19 within,happiness
RT COVID 19 Testing kit placed on table in Rose Garden prior to TaskForce briefing,happiness
Our M amp A team asks what s the best way to negotiate agreements in this environment when no one can really know the,worry
RT More than 14 200 people in 236 cities across Iran have died of coronavirus according to information obtained by the Peopl,worry
RT Is it normal to keep bursting into tears Driving home last night I welled up At work several of us were crying I am,sadness
RT ACTORS amp WRITERS couple up for FOOD BANKS wrote this one for me Your turn Ask folks to Donate to FO,worry
RT It did not take Donald Trump long to use the COVID 19 crisis he created as a means to self promote and campaign at his must,worry
RT AMABIE TANJIRO KAMADO CHAPTER 200 TanjirouKamado tanjiro tanjirokamado DemonSlayer knyspoilers kimetsunoyaiba200 kimets,neutral
RT Not a single death from coronavirus among its 96 million people Read more,worry
RT Chinese medics have just arrived in London to help us fight Covid 19 The media won t tell you for some reason https,happiness
RT Several places are managing COVID 19 well so far yes including China So it s weird to me that struggling countries It,relief
RT revealing Abbott Labs new 5 minute COVID 19 test,happiness
RT Bot BREAKING Jake from Subway Surfers tests positive for COVID 19,worry
Support Guadalupe by signing Why You Must Act Now and I ll deliver a copy to your officials too,worry
RT They won t follow social distancing because to them every govt appeal is an interference to their religious freedom,worry
RT leon 04 My mom tested positive for COVID 19 yesterday Tonight we had to rush her to the emergency room because she couldn t breath,worry
RT Many factual reports from Nurses and Nursing homes that if someone dies of a lung or heart comorbidity then,worry
RT Yesterday s tracker here Excellent for looking at trends amp absolute numbers in recorded covid 19 c,fun
RT Scientists estimate it will take at least a year to make a COVID19 vaccine available to the general public Ruth Karron,worry
Social Media with the Rapidly Spreading COVID 19 Read more at lilivasileff,happiness
RT We cannot allow the perfect to be the enemy of the good Wear masks Wash your hands http,fun
RT On Sunday Trump said that a final US coronavirus death toll somewhere in the range of 100 000 to 200 000 people would indicate,worry
RT Big thanks to amp,relief
RT Are you in the hospitality industry and because of COVID 19 you are looking for a job Join us live as we chat with htt,fun
RT My Mom s a nurse and just tested positive for COVID 19 The caregiver is now the patient Stay home for all the brave,relief
RT leon 04 My mom tested positive for COVID 19 yesterday Tonight we had to rush her to the emergency room because she couldn t breath,worry
RT leon 04 My mom tested positive for COVID 19 yesterday Tonight we had to rush her to the emergency room because she couldn t breath,worry
RT My sister has Covid 19 She s 7 months pregnant Will you pray for her,worry
RT Another doctor died yesterday in Leicester He had been on ventilator since contracting COVID 19 from a patient but but passed,worry
RT Don t miss this piece by on test hopping In the,worry
How COVID 19 may change the way we look at pollution climate change e commerce restaurants working remotely ou,happiness
RT Chinese markets are still selling bats they ve learned NOTHING Coronavirus Coronavirustruth virus CoronaCrisi,neutral
x18 chief executive Gillon McLachlan says all 18 clubs will survive the financial crisis caused by the coro,worry
