tweet_id,sentiment,author,content,,,,,,
1957351242,fun,xLunaLovegoodx,RT On Saturday an average of one person died from COVID19 every nine minutes in New York City On Sunday alone 98 people died,,,,,,
1957379307,fun,shadowcat_mdk,COVID 19 Update Nigeria records 20 new cases as toll rises to 131,,,,,,
1957386633,fun,bannersrus,Please do check out my new simple and much more authentic feeling services designed with you in mind Call or tex,,,,,,
1957389794,fun,histapleface,DC announces 94 new positive cases of COVID 19 ranging in age from 9 to 93 years old for a total of 495 people N,,,,,,
1957403939,fun,insertsmiley,RT This is well worth watching If you are scared of the Corona virus this one video will change that Watch it all the way thr,,,,,,
1957415182,fun,princess_mara15,RT Big props to who has joined the fight against COVID 19 and has started to produce medical gowns Great to,,,,,,
1957464188,fun,Carlie_pie,Another doctor New York neurosurgeon who separated conjoined twins dies from complications of Covid 19 CNN,Peter Pan &amp, Wendy turned out fine&quot,,,,
1957467582,fun,whatacatchx,RT USA Due to the severity of the COVID 19 pandemic amp to ensure the safety of everyone who participates Lt Gen Laster Presi,,,,,,
1957474409,fun,nissyoh,RT NEW A New Jersey National Guardsman dies from COVID 19 complications on Monday the Pentagon says marking the first coronavi,,,,,,
1957482102,fun,Galiiit,RT PELOSI NEWSOM s COVID 19 CHERNOBYL Ca has 40 million the GREATEST AT RISK POPULATION in the WORLD Their mortality is,,,,,,
1957486984,fun,simplyvinay,RT PELOSI NEWSOM s COVID 19 CHERNOBYL Ca has 40 million the GREATEST AT RISK POPULATION in the WORLD Their mortality is,,,,,,
1957500630,fun,alpha1736,RT Jump start your 2020 CallforCode solution for COVID19 with easy to understand starter kits We ve created three starter,,,,,,
1957504642,fun,mick_the_real1,RT Workers at Amazon s Staten Island facility have said that multiple people at the warehouse have been diagnosed with CO, school comes along just 2 end it &amp, the annual problem of r generation is finding a good way 2 spend it!!,,,,
1957505533,fun,Feather1228,Another good read,,,,,,
1957508197,fun,vinithasaira,RT Delicious food for our NHS A amp E heroes Slough based Aid is providing 800 hot meals daily to 8 NHS Hospitals A amp,,,,,,
1957514387,fun,_shellzbellz,RT Yesterday s tracker here Excellent for looking at trends amp absolute numbers in recorded covid 19 c,,,,,,
1957515026,fun,beezybabyx,RT We cannot allow the perfect to be the enemy of the good Wear masks Wash your hands http,,,,,,
1957516839,fun,Strachdan,RT Are you in the hospitality industry and because of COVID 19 you are looking for a job Join us live as we chat with htt,,,,,,
1957520247,fun,BrewGirl,RT Because we are on lockdown at the moment I m gonna surprise some people during the Covid 19 outbreak I m giving five p,,,,,,
1957521136,fun,chenoa_cutie,Adrian Dix Minister of Health and Dr Bonnie Henry B C s provincial health officer have issued the following j,,,,,,
1957563194,fun,LaBellaBijoux,RT A 24 yr old frat bro of mine just passed from COVID 19 Guys this bitch ain t discriminating Do your best to protect you,,,,,,
1957596519,fun,Richard_Gable,RT Thirteen days ago we were the first to bring you the hydroxychloroquine success story from docs treating COVID patients,,,,,,
1957602228,fun,silasistheman,RT World population 7 74 billion COVID 19 mortality rate 4 8 US population 331 million If every person in the world were,,,,,,
1957622502,fun,ketchupinacan,RT We have lost one of our NY based trans community leaders to COVID 19 Rest in power Lorena Borjas,,,,,,
1957635726,fun,casscc,Special message from Africa regarding prevention against COVID 19,,,,,,
1957639561,fun,sentricmusic,RT Fauci amp Birx are on record today saying COVID 19 in NYC is a sign of things to come for entirety of USA Let s keep tr,,,,,,
1957639612,fun,ArunBasilLal,RT Today we published a series of modelling reports all looking at how a range of measures can help reduce the impact of CO,,,,,,
1957639945,fun,_ilovefashion,RT Attn doctors nurses amp others involved in public health Pls sign this PETITION from to protect healthcare,,,,,,
1957650050,fun,ginevramicol,I had hoped our nation would begin to heal when we all faced a common enemy as we did on 9 11 I thought we would,,,,,,
1957655552,fun,sarahjanelopez,RT We have lost one of our NY based trans community leaders to COVID 19 Rest in power Lorena Borjas,,,,,,
1957663990,fun,pony_hooves,Spring on the farm means an abundance of fresh cheese But with covid19 a lot of dairy farmer business are being p,,,,,,
1957678866,fun,heyitsmisti,RT A New Jersey Army National Guardsman passed away on Saturday marking DoD s first death from COVID 19,,,,,,
1957679152,fun,Misdreavus_72,COVID19 tests WealthManagement firms in 3 critical areas 1 Performance of RoboAdvisors 2 Wealth advisors,,,,,,
1957726484,fun,lamunro,RT JR Hi everyone I just wanted just to inform you that we have received the results for the Covid 19 test and both Oriana an,,,,,,
1957736515,fun,kvegas911,Huge respect to Gokul Sagar for saving people s lives you re a real hero I wish you good luck and let s play CS,,,,,,
1957742696,fun,dinore,RT NEW confirm a frontline officer has been diagnosed with COVID19,,,,,,
1957743491,fun,djstephfloss,RT We have lost one of our NY based trans community leaders to COVID 19 Rest in power Lorena Borjas,,,,,,
1957744492,fun,supercracko,RT We have lost one of our NY based trans community leaders to COVID 19 Rest in power Lorena Borjas,,,,,,
1957754460,fun,Ladybloodymuck,RT Your local restaurant cafe or hair salon could be in serious financial jeopardy amidst COVID 19 asked members ho,,,,,,
1957757593,fun,impactvelocity,RT 1 2 We ll never stop shining for you Starting tonight through the COVID 19 battle our signature white lights wil,,,,,,
1958036042,fun,Mz_Cutie,RT Great nutrition tips from to ensure you are keeping healthy during socialdistancing and selfisolation Important,,,,,,
1958037565,fun,ohaijosh,RT nz Today we launched Agritech New Zealand Insights an online digital platform to support the sector s resilience and busine,,,,,,
1958051442,fun,lukemepham,RT Twitter is now removing tweets from world leaders that challenge the coronavirus shutdown Bolsonaro becomes the first,,,,,,
1958054940,fun,VernishiaRenee,RT Some silver lining from the Makati Medical Center which reported that it has discharged 29 COVID 19 patients who have,,,,,,
1958057287,fun,tammywammy,RT Are You A Retired Health Care Worker Or A Student Helping With The COVID 19 Response,,,,,,
1958073482,fun,LouisSiuol,RT auctions off Hellboy sketches to aid COVID 19 feeding program,,,,,,
1958074577,fun,slam87,Guddu Gupta IndiaFightsCorona Taking care of everyone during COVID 19 via NaMo App,,,,,,
1958083743,fun,Infantry11bdub,RT With 333 000 000 documented residents 239 deaths claimed to be from Covid 19 is 0 0000007,,,,,,
1958093437,fun,MissBoo1,RT The first uniformed member of the US military died of COVID 19 Army Capt Douglas Linn Hickok a medical professional amp mem,,,,,,
1958103630,fun,bebetaya,RT Survey of leading economists Abandoning severe lockdowns at a time when the likelihood of a resurgence in infections,,,,,,
1958109277,fun,AshleyMcCraw,COVID 19 has now killed thousands and you are now implying that keeping it at a hundred thousand w,,,,,,
1958117297,fun,xo_Mikaela_xo,RT ThePush Report LISTEN UP Everyone Go pick up a Midland Base Camp Two Way Radio It s the XT511 This will allow you to communic,,,,,,
1960158324,fun,smishpixie,RT sf Guidelines for Indonesian Students in the U S from PERMIAS Nasional COVID 19 Task Force in cooperation with Indonesian Missio,,,,,,
1960161966,fun,rachielouwho,RT Tonight LIVE at 8pm ET we ll discuss the coronavirus and public health policy We ll hear from Dr Howard Koh of Harva,,,,,,
1960198264,fun,amy4669,RT Below you will find some links to works by the Puritans that will feed you with much helpful material for the times in which, some don't...,,,,,
1960204273,fun,poprocker85,Hospitals in Connecticut are teaming up to help combat COVID 19 and make sure everyone get,,,,,,
1960207689,fun,GlowMore,RT How did 71 year old Prince Charles amp 55 year old Boris Johnson both recover in days from an illness which took a healthy 37,,,,,,
1960257337,fun,Ashleym2988,Managing Federal Contract Performance Issues Associated with the Novel Coronavims COVID 19,,,,,,
1960260363,fun,kpink007,RT As we face an unprecedented global health crisis COVID19 we call upon animallovers in Thailand to help street anim,,,,,,
1960299035,fun,groupleisuremag,RT Doctors nurses and other healthcare workers risk their lives EVERY DAY To protect us all from Covid 19,,,,,,
1960305139,fun,closetgeekshow,RT From the folks at the King s Head who will convert to a grocery store as of March 31 during the COVID 19 crisis https,,,,,,
1960327891,fun,olaitanayanwale,RT Mattress Mack is at GF 6006 N Freeway handing out Grab amp Go meals to everyone in the vehicle and 2 loafs of bread Than,,,,,,
1960331302,fun,galleysmith,RT Everyone who s got a loved one who tested positive for covid 19 I pray they all recover and come out of it stronger than,,,,,,
1960340146,fun,Jonster,RT Want to know how Baylor is making a positive difference in the world Watch this segment on about two research sci,,,,,,
1960387680,fun,GallifreyReject,RT gail Reading sunn COVID 19 Memes and one said If you haven t texted your ex yet clap your hands and little Shelby,,,,,,
1960419284,fun,iamladylyric,RT We have lost one of our NY based trans community leaders to COVID 19 Rest in power Lorena Borjas,,,,,,
1960431729,fun,LiLi214,RT A new study found that subgroups of children may be at greater risk of COVID 19 complications including those who are,,,,,,
1960459566,fun,amvald01,What Bill Gates thinks of the coronavirus Whereas many see the Corona Covid 19 virus as a great disaster I prefe,,,,,,
1960464921,fun,EvaBeaverr,RT Tibetan Buddhist nuns in India are praying for the healing of the world for the health and safety of all care workers an,,,,,,
1960469576,fun,jarrelt,A race against time how AI is being used in the fight against COVID 19,,,,,,
1960471845,fun,JaiMurali,RT With corpses on sidewalks and hospitals and morgues overwhelmed with COVID 19 Ecuador just paid 325 million to internation,,,,,,
1960489578,fun,dannialmaguer,RT We have lost one of our NY based trans community leaders to COVID 19 Rest in power Lorena Borjas,,,,,,
1960493118,fun,LKay77,RT It d be nice if had a special this tweet is disseminating COVID 19 disinformation button on their reporting func,,,,,,
1960518960,fun,SamanthaaGreco,RT JIDEA Today we launch Science Matters Let s Talk About COVID 19 This free online course from,,,,,,
1960528762,fun,GentleSinner,RT Jerry Falwell Jr Dismisses Covid 19 Cases at Liberty University and Posts Bizarre Video of Him Dancing,,,,,,
1960535809,fun,meganjay100,RT An important COVID 19 message,,,,,,
1960554443,fun,erkagarcia,RT Tonight on a plea to evacuate MoriaCamp to save 20 000 asylum seekers from Covid 19,,,,,,
1960554951,fun,wahliaodotcom,RT Fauci amp Birx are on record today saying COVID 19 in NYC is a sign of things to come for entirety of USA Let s keep tr,,,,,,
